Model,RTH1004
SerialNumber,105703
Firmware Version,'1.80.3.4'

Acquisition Time Stamp,2024-02-19 12:50:08.898166757,2024-02-19 12:50:08.898166757
Waveform Type,ANALOG,
Acquisition Mode,SAMPLE,
Horizontal Unit,s,
Horizontal Scale,0.5,
Horizontal Position,-2.5,
Reference Point,50 %,
Sample Interval,4e-05,
Record Length,125000,
Probe Setting,'1:1','0.1 V/A'
Vertical Unit,V,A
Vertical Scale,10,10
Vertical Position,-3.02,0
Vertical Offset,0,0
History Index,0,0
History Time Stamp,0.000000000000,0.000000000000
,,
TIME,CH1,CH2
-5,49.808,4.549
-4.99996,49.965,4.549
-4.99992,49.808,4.549
-4.99988,49.965,4.549
-4.99984,49.808,4.549
-4.9998,49.808,4.549
-4.99976,49.965,4.549
-4.99972,49.808,4.3922
-4.99968,49.808,4.3922
-4.99964,49.965,4.2353
-4.9996,49.808,4.0784
-4.99956,49.965,4.0784
-4.99952,49.808,3.9216
-4.99948,49.808,3.7647
-4.99944,49.965,3.6078
-4.9994,49.651,3.451
-4.99936,49.808,3.2941
-4.99932,49.808,2.9804
-4.99928,49.808,2.8235
-4.99924,49.965,2.6667
-4.9992,49.808,2.5098
-4.99916,49.808,2.1961
-4.99912,49.965,2.0392
-4.99908,49.808,1.7255
-4.99904,49.808,1.5686
-4.999,49.808,1.2549
-4.99896,49.808,0.94118
-4.99892,49.808,0.62745
-4.99888,49.808,0.31373
-4.99884,49.651,0
-4.9988,49.965,-0.15686
-4.99876,49.808,-0.31373
-4.99872,49.808,-0.31373
-4.99868,49.808,-0.31373
-4.99864,49.651,-0.31373
-4.9986,49.808,-0.15686
-4.99856,49.808,0
-4.99852,49.651,0.15686
-4.99848,49.808,0.15686
-4.99844,49.808,0.15686
-4.9984,49.808,0.15686
-4.99836,49.808,0
-4.99832,49.651,-0.15686
-4.99828,49.808,-0.15686
-4.99824,49.808,-0.15686
-4.9982,49.651,0
-4.99816,49.808,0
-4.99812,49.808,0
-4.99808,49.808,0
-4.99804,49.808,0
-4.998,49.651,0
-4.99796,49.808,0
-4.99792,49.808,-0.15686
-4.99788,49.651,-0.15686
-4.99784,49.808,-0.15686
-4.9978,49.651,0
-4.99776,49.651,0
-4.99772,49.808,0
-4.99768,49.651,0
-4.99764,49.808,0
-4.9976,49.651,0
-4.99756,49.494,-1.098
-4.99752,49.808,0.31373
-4.99748,49.651,1.2549
-4.99744,49.651,1.5686
-4.9974,49.808,1.8824
-4.99736,49.651,2.1961
-4.99732,49.651,2.3529
-4.99728,49.651,2.5098
-4.99724,49.494,2.8235
-4.9972,49.651,2.9804
-4.99716,49.651,3.2941
-4.99712,49.651,3.451
-4.99708,49.651,3.7647
-4.99704,49.494,3.7647
-4.997,49.651,3.9216
-4.99696,49.808,4.0784
-4.99692,49.494,4.0784
-4.99688,49.651,4.2353
-4.99684,49.494,4.3922
-4.9968,49.494,4.3922
-4.99676,49.651,4.549
-4.99672,49.494,4.3922
-4.99668,49.651,4.549
-4.99664,49.651,4.549
-4.9966,49.494,4.549
-4.99656,49.651,4.549
-4.99652,49.494,4.549
-4.99648,49.494,4.549
-4.99644,49.494,4.3922
-4.9964,49.494,4.3922
-4.99636,49.494,4.2353
-4.99632,49.494,4.2353
-4.99628,49.494,4.0784
-4.99624,49.494,4.0784
-4.9962,49.494,3.9216
-4.99616,49.337,3.7647
-4.99612,49.494,3.7647
-4.99608,49.494,3.6078
-4.99604,49.494,3.2941
-4.996,49.494,3.1373
-4.99596,49.337,2.9804
-4.99592,49.494,2.6667
-4.99588,49.494,2.5098
-4.99584,49.337,2.3529
-4.9958,49.494,2.0392
-4.99576,49.337,1.8824
-4.99572,49.494,1.5686
-4.99568,49.651,1.4118
-4.99564,49.337,1.098
-4.9956,49.494,0.62745
-4.99556,49.337,0.31373
-4.99552,49.337,0.15686
-4.99548,49.494,-0.15686
-4.99544,49.337,-0.15686
-4.9954,49.337,-0.31373
-4.99536,49.337,-0.31373
-4.99532,49.18,-0.15686
-4.99528,49.337,-0.15686
-4.99524,49.337,0
-4.9952,49.18,0
-4.99516,49.337,0.15686
-4.99512,49.337,0.15686
-4.99508,49.337,0
-4.99504,49.337,0
-4.995,49.18,-0.15686
-4.99496,49.337,-0.15686
-4.99492,49.337,-0.15686
-4.99488,49.18,-0.15686
-4.99484,49.337,-0.15686
-4.9948,49.18,0
-4.99476,49.337,0
-4.99472,49.337,0
-4.99468,49.18,0
-4.99464,49.337,0
-4.9946,49.18,0
-4.99456,49.18,0
-4.99452,49.337,-0.15686
-4.99448,49.18,0
-4.99444,49.18,0
-4.9944,49.18,0
-4.99436,49.024,0
-4.99432,49.18,0
-4.99428,49.024,0
-4.99424,49.024,0
-4.9942,49.18,1.2549
-4.99416,49.024,-0.15686
-4.99412,49.18,0.94118
-4.99408,49.18,1.5686
-4.99404,49.024,1.5686
-4.994,49.18,2.1961
-4.99396,49.18,2.1961
-4.99392,49.024,2.6667
-4.99388,49.18,2.6667
-4.99384,49.024,2.9804
-4.9938,49.024,3.1373
-4.99376,49.18,3.451
-4.99372,49.024,3.451
-4.99368,49.024,3.6078
-4.99364,49.024,3.7647
-4.9936,49.024,3.9216
-4.99356,49.18,3.9216
-4.99352,49.18,4.0784
-4.99348,49.024,4.2353
-4.99344,49.18,4.2353
-4.9934,49.024,4.2353
-4.99336,49.024,4.2353
-4.99332,49.18,4.3922
-4.99328,49.024,4.3922
-4.99324,49.024,4.3922
-4.9932,49.024,4.3922
-4.99316,48.867,4.3922
-4.99312,49.18,4.2353
-4.99308,49.024,4.2353
-4.99304,49.024,4.0784
-4.993,49.024,4.0784
-4.99296,48.867,3.9216
-4.99292,49.024,3.9216
-4.99288,48.867,3.7647
-4.99284,49.024,3.6078
-4.9928,49.024,3.451
-4.99276,48.867,3.2941
-4.99272,49.18,3.1373
-4.99268,49.024,2.9804
-4.99264,48.867,2.8235
-4.9926,49.024,2.6667
-4.99256,49.024,2.3529
-4.99252,49.024,2.1961
-4.99248,49.18,1.8824
-4.99244,48.867,1.7255
-4.9924,49.024,1.4118
-4.99236,49.024,1.098
-4.99232,48.867,0.78431
-4.99228,49.024,0.47059
-4.99224,49.024,0.31373
-4.9922,49.024,0
-4.99216,49.024,-0.15686
-4.99212,49.024,-0.31373
-4.99208,49.024,-0.31373
-4.99204,49.024,-0.31373
-4.992,48.867,-0.15686
-4.99196,49.18,-0.15686
-4.99192,49.024,0
-4.99188,49.024,0.15686
-4.99184,49.024,0
-4.9918,49.024,0.15686
-4.99176,49.024,0.15686
-4.99172,49.024,0
-4.99168,48.867,-0.15686
-4.99164,49.18,0
-4.9916,49.024,0
-4.99156,49.024,0
-4.99152,49.024,0
-4.99148,49.024,0
-4.99144,49.024,0
-4.9914,49.024,0
-4.99136,49.024,0
-4.99132,49.18,0
-4.99128,49.024,-0.15686
-4.99124,48.867,-0.15686
-4.9912,49.18,0
-4.99116,49.024,0
-4.99112,49.024,-0.15686
-4.99108,49.18,0
-4.99104,49.024,0
-4.991,49.18,0
-4.99096,49.024,0
-4.99092,48.867,0
-4.99088,49.024,0
-4.99084,49.024,-1.7255
-4.9908,49.024,0.62745
-4.99076,49.024,1.2549
-4.99072,49.024,1.5686
-4.99068,49.18,1.7255
-4.99064,49.024,2.0392
-4.9906,49.024,2.1961
-4.99056,49.18,2.5098
-4.99052,49.024,2.6667
-4.99048,49.024,2.9804
-4.99044,49.18,3.1373
-4.9904,49.024,3.2941
-4.99036,49.18,3.451
-4.99032,49.18,3.6078
-4.99028,49.024,3.7647
-4.99024,49.18,3.9216
-4.9902,49.024,3.9216
-4.99016,49.024,3.9216
-4.99012,49.18,4.0784
