Model,RTH1004
SerialNumber,105703
Firmware Version,'1.80.3.4'

Acquisition Time Stamp,2024-02-19 12:50:08.898166757,2024-02-19 12:50:08.898166757
Waveform Type,ANALOG,
Acquisition Mode,SAMPLE,
Horizontal Unit,s,
Horizontal Scale,0.359552,
Horizontal Position,-1.79776,
Reference Point,50 %,
Sample Interval,4e-05,
Record Length,89888,
Probe Setting,'1:1','0.1 V/A'
Vertical Unit,V,A
Vertical Scale,40,10
Vertical Position,-3.02,0
Vertical Offset,0,0
History Index,0,0
History Time Stamp,0.000000000000,0.000000000000
,,
TIME,CH1,CH2
-3.59552,120.8,-0.15686
-3.59548,120.8,-0.15686
-3.59544,120.8,-0.15686
-3.5954,120.8,-0.15686
-3.59536,120.8,0
-3.59532,120.8,-0.15686
-3.59528,120.8,0
-3.59524,120.8,0.31373
-3.5952,120.8,0.47059
-3.59516,120.8,1.5686
-3.59512,120.8,1.4118
-3.59508,120.8,2.0392
-3.59504,120.8,2.1961
-3.595,120.8,2.6667
-3.59496,120.8,2.8235
-3.59492,120.8,3.1373
-3.59488,120.8,3.2941
-3.59484,120.8,3.6078
-3.5948,120.8,3.7647
-3.59476,120.8,3.9216
-3.59472,120.8,4.2353
-3.59468,120.8,4.2353
-3.59464,120.8,4.549
-3.5946,120.8,4.7059
-3.59456,120.8,4.8627
-3.59452,120.8,4.8627
-3.59448,120.8,5.0196
-3.59444,120.8,5.0196
-3.5944,120.8,5.1765
-3.59436,120.8,5.1765
-3.59432,120.8,5.1765
-3.59428,120.8,5.3333
-3.59424,120.8,5.3333
-3.5942,120.8,5.3333
-3.59416,120.8,5.3333
-3.59412,120.8,5.4902
-3.59408,120.8,5.3333
-3.59404,120.8,5.1765
-3.594,120.8,5.1765
-3.59396,120.8,5.1765
-3.59392,120.8,5.1765
-3.59388,121.427,5.0196
-3.59384,120.8,4.8627
-3.5938,120.8,4.7059
-3.59376,120.8,4.7059
-3.59372,120.8,4.549
-3.59368,121.427,4.3922
-3.59364,120.8,4.2353
-3.5936,120.8,4.0784
-3.59356,121.427,3.9216
-3.59352,120.8,3.7647
-3.59348,121.427,3.451
-3.59344,121.427,3.2941
-3.5934,121.427,2.9804
-3.59336,121.427,2.8235
-3.59332,121.427,2.5098
-3.59328,121.427,2.3529
-3.59324,121.427,2.0392
-3.5932,121.427,1.8824
-3.59316,122.055,1.5686
-3.59312,122.055,1.2549
-3.59308,121.427,0.94118
-3.59304,121.427,0.62745
-3.593,121.427,0.31373
-3.59296,121.427,0
-3.59292,122.055,-0.15686
-3.59288,121.427,-0.31373
-3.59284,121.427,-0.47059
-3.5928,121.427,-0.31373
-3.59276,121.427,-0.31373
-3.59272,121.427,-0.15686
-3.59268,121.427,0
-3.59264,121.427,0
-3.5926,121.427,0.15686
-3.59256,121.427,0
-3.59252,121.427,0
-3.59248,122.055,-0.15686
-3.59244,121.427,-0.15686
-3.5924,122.055,-0.15686
-3.59236,121.427,-0.15686
-3.59232,121.427,-0.15686
-3.59228,121.427,-0.15686
-3.59224,121.427,0
-3.5922,121.427,0
-3.59216,121.427,0
-3.59212,121.427,0
-3.59208,121.427,-0.15686
-3.59204,121.427,-0.15686
-3.592,121.427,-0.15686
-3.59196,121.427,-0.94118
-3.59192,121.427,0
-3.59188,121.427,1.098
-3.59184,121.427,1.5686
-3.5918,121.427,1.7255
-3.59176,121.427,2.0392
-3.59172,121.427,2.3529
-3.59168,121.427,2.6667
-3.59164,121.427,2.9804
-3.5916,121.427,3.2941
-3.59156,121.427,3.451
-3.59152,121.427,3.9216
-3.59148,120.8,4.0784
-3.59144,121.427,4.2353
-3.5914,121.427,4.549
-3.59136,120.8,4.549
-3.59132,121.427,4.7059
-3.59128,120.8,5.0196
-3.59124,120.8,5.0196
-3.5912,121.427,5.1765
-3.59116,120.8,5.3333
-3.59112,120.8,5.4902
-3.59108,121.427,5.6471
-3.59104,120.8,5.6471
-3.591,120.8,5.6471
-3.59096,120.8,5.6471
-3.59092,120.8,5.8039
-3.59088,120.8,5.8039
-3.59084,120.8,5.8039
-3.5908,120.8,5.8039
-3.59076,120.8,5.8039
-3.59072,120.8,5.8039
-3.59068,120.8,5.8039
-3.59064,120.8,5.8039
-3.5906,120.8,5.6471
-3.59056,120.8,5.4902
-3.59052,120.8,5.4902
-3.59048,120.8,5.3333
-3.59044,120.8,5.1765
-3.5904,120.173,5.0196
-3.59036,120.8,4.8627
-3.59032,120.8,4.7059
-3.59028,120.173,4.549
-3.59024,120.8,4.3922
-3.5902,120.173,4.2353
-3.59016,120.173,4.0784
-3.59012,120.173,3.7647
-3.59008,120.173,3.6078
-3.59004,120.8,3.2941
-3.59,120.173,3.1373
-3.58996,120.173,2.8235
-3.58992,120.173,2.6667
-3.58988,120.173,2.3529
-3.58984,120.173,2.0392
-3.5898,120.173,1.7255
-3.58976,120.173,1.4118
-3.58972,120.173,1.098
-3.58968,120.173,0.78431
-3.58964,120.173,0.47059
-3.5896,120.173,0.15686
-3.58956,120.173,-0.15686
-3.58952,120.173,-0.31373
-3.58948,120.173,-0.47059
-3.58944,120.173,-0.47059
-3.5894,120.173,-0.31373
-3.58936,120.173,-0.15686
-3.58932,120.173,-0.15686
-3.58928,120.173,0
-3.58924,120.173,0
-3.5892,120.173,0
-3.58916,120.173,0
-3.58912,120.173,0
-3.58908,120.173,-0.15686
-3.58904,120.173,-0.15686
-3.589,120.173,-0.15686
-3.58896,120.173,-0.15686
-3.58892,120.173,0
-3.58888,120.173,0
-3.58884,120.173,0
-3.5888,120.173,0
-3.58876,120.173,0
-3.58872,120.173,0
-3.58868,120.173,0
-3.58864,120.173,0
-3.5886,120.173,1.098
-3.58856,120.173,0.15686
-3.58852,120.173,0.94118
-3.58848,120.173,1.4118
-3.58844,120.173,2.1961
-3.5884,120.173,2.1961
-3.58836,120.173,2.6667
-3.58832,120.173,2.9804
-3.58828,120.173,3.1373
-3.58824,120.173,3.6078
-3.5882,120.8,3.7647
-3.58816,120.173,3.9216
-3.58812,120.173,4.2353
-3.58808,120.8,4.3922
-3.58804,120.173,4.549
-3.588,120.8,4.7059
-3.58796,120.8,4.8627
-3.58792,120.173,5.0196
-3.58788,120.8,5.1765
-3.58784,120.8,5.4902
-3.5878,120.8,5.4902
-3.58776,120.8,5.4902
-3.58772,120.8,5.6471
-3.58768,120.8,5.6471
-3.58764,120.8,5.8039
-3.5876,120.8,5.8039
-3.58756,120.8,5.8039
-3.58752,120.8,5.8039
-3.58748,120.8,5.8039
-3.58744,120.8,5.6471
-3.5874,120.8,5.6471
-3.58736,120.8,5.6471
-3.58732,120.8,5.6471
-3.58728,120.8,5.6471
-3.58724,120.8,5.4902
-3.5872,120.8,5.4902
-3.58716,120.8,5.3333
-3.58712,121.427,5.1765
-3.58708,120.8,5.0196
-3.58704,121.427,4.8627
-3.587,121.427,4.7059
-3.58696,120.8,4.549
-3.58692,121.427,4.3922
-3.58688,121.427,4.2353
-3.58684,120.8,4.0784
-3.5868,121.427,3.7647
-3.58676,121.427,3.451
-3.58672,121.427,3.2941
-3.58668,121.427,3.1373
-3.58664,121.427,2.8235
-3.5866,121.427,2.5098
-3.58656,121.427,2.3529
-3.58652,120.8,2.0392
-3.58648,121.427,1.7255
-3.58644,121.427,1.4118
-3.5864,121.427,1.098
-3.58636,121.427,0.78431
-3.58632,120.8,0.47059
-3.58628,121.427,0.15686
-3.58624,121.427,-0.15686
-3.5862,121.427,-0.31373
-3.58616,121.427,-0.31373
-3.58612,120.8,-0.47059
-3.58608,121.427,-0.31373
-3.58604,120.8,-0.15686
-3.586,120.8,0
-3.58596,120.8,0
-3.58592,120.8,0.15686
-3.58588,120.8,0
