Model,RTH1004
SerialNumber,105703
Firmware Version,'1.80.3.4'

Acquisition Time Stamp,2024-02-19 12:50:08.898166757,2024-02-19 12:50:08.898166757
Waveform Type,ANALOG,
Acquisition Mode,SAMPLE,
Horizontal Unit,s,
Horizontal Scale,0.5,
Horizontal Position,-2.5,
Reference Point,50 %,
Sample Interval,4e-05,
Record Length,125000,
Probe Setting,'1:1','0.1 V/A'
Vertical Unit,V,A
Vertical Scale,20,10
Vertical Position,3.14,0
Vertical Offset,0,0
History Index,0,0
History Time Stamp,0.000000000000,0.000000000000
,,
TIME,CH1,CH2
-5,-103.271,-13.49
-4.99996,-103.271,-13.647
-4.99992,-103.271,-13.961
-4.99988,-102.957,-14.118
-4.99984,-102.957,-14.275
-4.9998,-103.271,-14.275
-4.99976,-103.271,-14.431
-4.99972,-103.271,-14.588
-4.99968,-103.271,-14.745
-4.99964,-103.271,-14.588
-4.9996,-103.271,-14.745
-4.99956,-103.584,-14.745
-4.99952,-103.271,-14.745
-4.99948,-103.271,-14.745
-4.99944,-103.584,-14.745
-4.9994,-103.271,-14.745
-4.99936,-103.584,-14.745
-4.99932,-103.584,-14.745
-4.99928,-103.584,-14.745
-4.99924,-103.584,-14.588
-4.9992,-103.271,-14.431
-4.99916,-103.584,-14.431
-4.99912,-103.584,-14.275
-4.99908,-103.271,-14.118
-4.99904,-103.584,-13.961
-4.999,-103.584,-13.804
-4.99896,-103.584,-13.647
-4.99892,-103.584,-13.49
-4.99888,-103.584,-13.333
-4.99884,-103.584,-13.176
-4.9988,-103.584,-12.863
-4.99876,-103.898,-12.706
-4.99872,-103.898,-12.549
-4.99868,-103.584,-12.235
-4.99864,-103.898,-12.078
-4.9986,-103.584,-11.765
-4.99856,-103.898,-11.451
-4.99852,-103.898,-11.294
-4.99848,-103.584,-10.98
-4.99844,-103.898,-10.667
-4.9984,-103.898,-10.353
-4.99836,-103.898,-10.039
-4.99832,-103.898,-9.5686
-4.99828,-103.584,-9.2549
-4.99824,-103.898,-8.7843
-4.9982,-103.898,-8.4706
-4.99816,-103.898,-8.1569
-4.99812,-103.898,-7.6863
-4.99808,-103.898,-7.3725
-4.99804,-103.898,-6.902
-4.998,-103.898,-6.4314
-4.99796,-103.898,-6.1176
-4.99792,-104.212,-5.6471
-4.99788,-103.898,-5.1765
-4.99784,-103.898,-4.7059
-4.9978,-104.212,-4.3922
-4.99776,-103.898,-3.9216
-4.99772,-104.212,-3.2941
-4.99768,-103.898,-6.1176
-4.99764,-104.212,-2.5098
-4.9976,-104.212,-5.9608
-4.99756,-103.898,-4.7059
-4.99752,-104.212,-6.1176
-4.99748,-104.525,-6.2745
-4.99744,-104.525,-6.902
-4.9974,-104.525,-7.3725
-4.99736,-103.898,-7.6863
-4.99732,-103.898,-8.3137
-4.99728,-103.898,-8.6275
-4.99724,-103.898,-9.098
-4.9972,-104.212,-9.4118
-4.99716,-103.898,-9.7255
-4.99712,-104.212,-10.196
-4.99708,-103.898,-10.51
-4.99704,-103.898,-10.667
-4.997,-104.212,-11.137
-4.99696,-104.212,-11.294
-4.99692,-104.212,-11.608
-4.99688,-104.212,-11.922
-4.99684,-103.898,-12.235
-4.9968,-104.212,-12.392
-4.99676,-104.212,-12.549
-4.99672,-104.212,-12.863
-4.99668,-104.212,-13.02
-4.99664,-104.212,-13.176
-4.9966,-104.212,-13.333
-4.99656,-104.212,-13.49
-4.99652,-103.898,-13.647
-4.99648,-104.212,-13.804
-4.99644,-104.212,-13.804
-4.9964,-104.212,-13.961
-4.99636,-104.212,-14.118
-4.99632,-104.212,-14.275
-4.99628,-104.212,-14.275
-4.99624,-103.898,-14.275
-4.9962,-104.212,-14.275
-4.99616,-103.898,-14.275
-4.99612,-103.898,-14.431
-4.99608,-103.898,-14.275
-4.99604,-103.898,-14.275
-4.996,-103.898,-14.275
-4.99596,-104.212,-14.118
-4.99592,-103.898,-14.118
-4.99588,-103.898,-14.118
-4.99584,-103.898,-13.961
-4.9958,-103.898,-13.804
-4.99576,-103.898,-13.804
-4.99572,-103.898,-13.647
-4.99568,-103.898,-13.49
-4.99564,-103.898,-13.333
-4.9956,-103.898,-13.176
-4.99556,-103.898,-12.863
-4.99552,-103.584,-12.706
-4.99548,-103.898,-12.549
-4.99544,-103.584,-12.392
-4.9954,-103.584,-12.078
-4.99536,-103.898,-11.922
-4.99532,-103.584,-11.608
-4.99528,-103.584,-11.451
-4.99524,-103.584,-11.137
-4.9952,-103.584,-10.98
-4.99516,-103.898,-10.667
-4.99512,-103.584,-10.353
-4.99508,-103.584,-10.039
-4.99504,-103.584,-9.7255
-4.995,-103.584,-9.4118
-4.99496,-103.584,-9.098
-4.99492,-103.584,-8.6275
-4.99488,-103.584,-8.3137
-4.99484,-103.584,-8
-4.9948,-103.584,-7.5294
-4.99476,-103.584,-7.2157
-4.99472,-103.584,-6.7451
-4.99468,-103.584,-6.4314
-4.99464,-103.584,-5.9608
-4.9946,-103.271,-5.6471
-4.99456,-103.584,-5.1765
-4.99452,-103.271,-4.7059
-4.99448,-103.271,-4.2353
-4.99444,-103.584,-3.7647
-4.9944,-103.271,-3.2941
-4.99436,-103.584,-1.7255
-4.99432,-103.271,-3.6078
-4.99428,-103.271,-5.6471
-4.99424,-103.271,-5.0196
-4.9942,-103.271,-5.9608
-4.99416,-103.584,-6.2745
-4.99412,-103.271,-6.902
-4.99408,-103.271,-7.3725
-4.99404,-103.584,-7.6863
-4.994,-103.271,-8.4706
-4.99396,-103.271,-8.7843
-4.99392,-103.584,-9.098
-4.99388,-103.271,-9.4118
-4.99384,-103.584,-10.039
-4.9938,-103.271,-10.196
-4.99376,-103.584,-10.667
-4.99372,-103.584,-10.824
-4.99368,-103.271,-11.137
-4.99364,-103.584,-11.451
-4.9936,-103.584,-11.765
-4.99356,-103.584,-12.078
-4.99352,-103.584,-12.392
-4.99348,-103.271,-12.549
-4.99344,-103.584,-12.706
-4.9934,-103.584,-13.02
-4.99336,-103.584,-13.333
-4.99332,-103.584,-13.49
-4.99328,-103.584,-13.804
-4.99324,-103.584,-13.961
-4.9932,-103.584,-14.118
-4.99316,-103.271,-14.118
-4.99312,-103.584,-14.275
-4.99308,-103.584,-14.431
-4.99304,-103.584,-14.588
-4.993,-103.898,-14.588
-4.99296,-103.584,-14.745
-4.99292,-103.898,-14.745
-4.99288,-103.584,-14.745
-4.99284,-103.584,-14.902
-4.9928,-103.898,-14.902
-4.99276,-103.584,-14.902
-4.99272,-103.898,-14.902
-4.99268,-103.898,-14.902
-4.99264,-103.584,-14.745
-4.9926,-103.898,-14.745
-4.99256,-103.584,-14.745
-4.99252,-103.898,-14.588
-4.99248,-103.898,-14.431
-4.99244,-103.898,-14.431
-4.9924,-103.898,-14.275
-4.99236,-103.898,-14.118
-4.99232,-103.898,-13.961
-4.99228,-103.898,-13.804
-4.99224,-103.898,-13.647
-4.9922,-103.898,-13.49
-4.99216,-103.584,-13.176
-4.99212,-103.584,-13.02
-4.99208,-103.584,-12.863
-4.99204,-103.898,-12.706
-4.992,-103.898,-12.392
-4.99196,-103.898,-12.078
-4.99192,-103.898,-11.765
-4.99188,-103.898,-11.608
-4.99184,-103.898,-11.294
-4.9918,-103.898,-10.98
-4.99176,-103.898,-10.667
-4.99172,-104.212,-10.51
-4.99168,-104.212,-10.039
-4.99164,-104.212,-9.7255
-4.9916,-104.212,-9.5686
-4.99156,-104.212,-9.098
-4.99152,-104.212,-8.6275
-4.99148,-104.212,-8.3137
-4.99144,-104.212,-8
-4.9914,-104.525,-7.5294
-4.99136,-104.525,-7.0588
-4.99132,-104.212,-6.7451
-4.99128,-104.212,-6.2745
