Model,RTH1004
SerialNumber,105703
Firmware Version,'1.80.3.4'

Acquisition Time Stamp,2024-02-19 12:50:08.898166757,2024-02-19 12:50:08.898166757
Waveform Type,ANALOG,
Acquisition Mode,SAMPLE,
Horizontal Unit,s,
Horizontal Scale,0.5,
Horizontal Position,-2.5,
Reference Point,50 %,
Sample Interval,4e-05,
Record Length,125000,
Probe Setting,'1:1','0.1 V/A'
Vertical Unit,V,A
Vertical Scale,20,10
Vertical Position,-3.02,0
Vertical Offset,0,0
History Index,0,0
History Time Stamp,0.000000000000,0.000000000000
,,
TIME,CH1,CH2
-5,56.3216,0.62745
-4.99996,56.0078,0.31373
-4.99992,56.3216,-0.15686
-4.99988,56.3216,-0.31373
-4.99984,56.0078,-0.47059
-4.9998,56.3216,-0.31373
-4.99976,56.3216,-0.31373
-4.99972,56.3216,-0.15686
-4.99968,56.3216,-0.15686
-4.99964,56.0078,0
-4.9996,56.3216,0.15686
-4.99956,56.0078,0.15686
-4.99952,56.0078,0
-4.99948,56.0078,0
-4.99944,56.0078,-0.15686
-4.9994,56.0078,-0.15686
-4.99936,56.3216,-0.15686
-4.99932,56.0078,-6.4314
-4.99928,56.3216,0
-4.99924,56.0078,1.2549
-4.9992,56.0078,1.7255
-4.99916,56.0078,2.0392
-4.99912,56.0078,2.5098
-4.99908,56.0078,2.8235
-4.99904,56.3216,3.1373
-4.999,56.0078,3.6078
-4.99896,56.3216,3.9216
-4.99892,56.0078,4.2353
-4.99888,56.0078,4.549
-4.99884,56.3216,4.8627
-4.9988,56.0078,5.1765
-4.99876,56.0078,5.4902
-4.99872,56.3216,5.6471
-4.99868,56.0078,5.8039
-4.99864,56.3216,5.9608
-4.9986,56.0078,6.2745
-4.99856,56.0078,6.4314
-4.99852,56.0078,6.7451
-4.99848,56.0078,6.7451
-4.99844,56.0078,7.0588
-4.9984,56.0078,7.0588
-4.99836,56.0078,7.2157
-4.99832,56.0078,7.2157
-4.99828,56.0078,7.3725
-4.99824,56.0078,7.3725
-4.9982,56.0078,7.5294
-4.99816,56.0078,7.6863
-4.99812,56.0078,7.6863
-4.99808,56.0078,7.5294
-4.99804,56.0078,7.6863
-4.998,56.0078,7.5294
-4.99796,56.0078,7.6863
-4.99792,56.0078,7.5294
-4.99788,56.0078,7.5294
-4.99784,56.0078,7.5294
-4.9978,56.0078,7.3725
-4.99776,56.0078,7.3725
-4.99772,56.0078,7.2157
-4.99768,56.0078,7.0588
-4.99764,56.0078,6.902
-4.9976,56.0078,6.902
-4.99756,56.0078,6.7451
-4.99752,56.0078,6.5882
-4.99748,56.0078,6.4314
-4.99744,56.0078,6.1176
-4.9974,56.0078,5.9608
-4.99736,56.0078,5.8039
-4.99732,56.0078,5.4902
-4.99728,56.0078,5.3333
-4.99724,56.0078,5.0196
-4.9972,56.0078,4.8627
-4.99716,55.6941,4.549
-4.99712,56.0078,4.2353
-4.99708,56.0078,4.0784
-4.99704,56.0078,3.6078
-4.997,56.0078,3.451
-4.99696,56.0078,2.9804
-4.99692,56.0078,2.6667
-4.99688,56.0078,2.5098
-4.99684,56.0078,2.0392
-4.9968,56.0078,1.7255
-4.99676,55.6941,1.2549
-4.99672,56.0078,0.94118
-4.99668,56.0078,0.47059
-4.99664,55.6941,0.15686
-4.9966,56.0078,-0.15686
-4.99656,56.0078,-0.31373
-4.99652,56.0078,-0.47059
-4.99648,56.0078,-0.47059
-4.99644,56.0078,-0.31373
-4.9964,56.0078,-0.15686
-4.99636,56.0078,0
-4.99632,56.0078,0
-4.99628,56.0078,0.15686
-4.99624,56.0078,0.15686
-4.9962,56.0078,0
-4.99616,56.0078,-0.15686
-4.99612,56.0078,-0.15686
-4.99608,56.0078,-0.15686
-4.99604,56.0078,-0.15686
-4.996,56.0078,-0.15686
-4.99596,56.0078,1.4118
-4.99592,56.0078,-0.15686
-4.99588,56.0078,2.5098
-4.99584,56.0078,1.7255
-4.9958,56.0078,2.1961
-4.99576,55.6941,2.6667
-4.99572,56.0078,2.8235
-4.99568,56.0078,3.2941
-4.99564,56.0078,3.6078
-4.9956,56.0078,4.0784
-4.99556,56.0078,4.2353
-4.99552,56.0078,4.7059
-4.99548,56.0078,4.8627
-4.99544,56.0078,5.1765
-4.9954,56.0078,5.3333
-4.99536,56.0078,5.6471
-4.99532,56.0078,5.8039
-4.99528,56.0078,6.1176
-4.99524,56.0078,6.2745
-4.9952,56.0078,6.2745
-4.99516,56.0078,6.5882
-4.99512,56.0078,6.7451
-4.99508,56.0078,6.902
-4.99504,56.0078,6.902
-4.995,56.0078,7.0588
-4.99496,56.0078,7.2157
-4.99492,56.0078,7.2157
-4.99488,56.0078,7.2157
-4.99484,56.0078,7.3725
-4.9948,56.0078,7.3725
-4.99476,56.0078,7.3725
-4.99472,56.0078,7.3725
-4.99468,56.0078,7.5294
-4.99464,56.0078,7.3725
-4.9946,56.0078,7.3725
-4.99456,56.0078,7.3725
-4.99452,56.0078,7.2157
-4.99448,56.0078,7.2157
-4.99444,56.3216,7.2157
-4.9944,56.0078,7.0588
-4.99436,56.0078,6.902
-4.99432,56.0078,6.7451
-4.99428,56.0078,6.7451
-4.99424,56.0078,6.5882
-4.9942,56.0078,6.4314
-4.99416,56.0078,6.2745
-4.99412,56.3216,6.1176
-4.99408,56.0078,5.8039
-4.99404,56.0078,5.6471
-4.994,56.0078,5.4902
-4.99396,56.0078,5.1765
-4.99392,56.3216,5.0196
-4.99388,56.3216,4.8627
-4.99384,56.0078,4.549
-4.9938,56.0078,4.2353
-4.99376,56.0078,3.9216
-4.99372,56.0078,3.6078
-4.99368,56.3216,3.451
-4.99364,56.0078,2.9804
-4.9936,56.3216,2.6667
-4.99356,56.3216,2.3529
-4.99352,56.0078,2.0392
-4.99348,56.3216,1.7255
-4.99344,56.0078,1.2549
-4.9934,56.3216,0.94118
-4.99336,55.6941,0.47059
-4.99332,56.0078,0.15686
-4.99328,56.3216,-0.15686
-4.99324,56.3216,-0.31373
-4.9932,56.0078,-0.47059
-4.99316,56.3216,-0.47059
-4.99312,56.3216,-0.31373
-4.99308,56.3216,-0.15686
-4.99304,56.3216,-0.15686
-4.993,56.0078,0
-4.99296,56.3216,0.15686
-4.99292,56.3216,0.15686
-4.99288,56.0078,0
-4.99284,56.3216,-0.15686
-4.9928,56.3216,0
-4.99276,56.3216,-0.15686
-4.99272,56.3216,-0.15686
-4.99268,56.3216,-0.15686
-4.99264,56.3216,1.7255
-4.9926,56.3216,0.47059
-4.99256,56.3216,1.2549
-4.99252,56.3216,1.8824
-4.99248,56.3216,2.0392
-4.99244,56.3216,2.6667
-4.9924,56.3216,2.9804
-4.99236,56.6353,3.2941
-4.99232,56.6353,3.6078
-4.99228,56.6353,4.0784
-4.99224,56.3216,4.3922
-4.9922,56.6353,4.7059
-4.99216,56.3216,5.0196
-4.99212,56.3216,5.1765
-4.99208,56.3216,5.4902
-4.99204,56.3216,5.6471
-4.992,56.3216,5.9608
-4.99196,56.6353,6.1176
-4.99192,56.3216,6.2745
-4.99188,56.3216,6.4314
-4.99184,56.6353,6.7451
-4.9918,56.3216,6.902
-4.99176,56.6353,7.0588
-4.99172,56.3216,7.2157
-4.99168,56.3216,7.2157
-4.99164,56.6353,7.3725
-4.9916,56.3216,7.3725
-4.99156,56.6353,7.5294
-4.99152,56.3216,7.6863
-4.99148,56.3216,7.6863
-4.99144,56.6353,7.6863
-4.9914,56.3216,7.6863
-4.99136,56.6353,7.6863
-4.99132,56.6353,7.6863
-4.99128,56.3216,7.6863
-4.99124,56.6353,7.6863
-4.9912,56.6353,7.6863
-4.99116,56.6353,7.5294
-4.99112,56.6353,7.5294
