Model,RTH1004
SerialNumber,105703
Firmware Version,'1.80.3.4'

Acquisition Time Stamp,2024-02-19 12:50:08.898166757,2024-02-19 12:50:08.898166757
Waveform Type,ANALOG,
Acquisition Mode,SAMPLE,
Horizontal Unit,s,
Horizontal Scale,0.5,
Horizontal Position,-2.5,
Reference Point,50 %,
Sample Interval,4e-05,
Record Length,125000,
Probe Setting,'1:1','0.1 V/A'
Vertical Unit,V,A
Vertical Scale,20,10
Vertical Position,-3.02,0
Vertical Offset,0,0
History Index,0,0
History Time Stamp,0.000000000000,0.000000000000
,,
TIME,CH1,CH2
-5,120.635,4.0784
-4.99996,120.635,4.3922
-4.99992,120.635,4.7059
-4.99988,120.635,5.0196
-4.99984,120.635,5.1765
-4.9998,120.635,5.4902
-4.99976,120.635,5.6471
-4.99972,120.635,5.8039
-4.99968,120.635,6.1176
-4.99964,120.635,6.2745
-4.9996,120.635,6.2745
-4.99956,120.949,6.4314
-4.99952,120.635,6.7451
-4.99948,120.635,6.7451
-4.99944,120.949,6.902
-4.9994,120.635,7.0588
-4.99936,120.949,7.2157
-4.99932,120.949,7.2157
-4.99928,120.949,7.2157
-4.99924,120.949,7.2157
-4.9992,120.949,7.3725
-4.99916,120.949,7.3725
-4.99912,120.949,7.3725
-4.99908,120.949,7.3725
-4.99904,120.949,7.3725
-4.999,120.949,7.3725
-4.99896,120.949,7.3725
-4.99892,121.263,7.2157
-4.99888,121.263,7.2157
-4.99884,120.949,7.0588
-4.9988,121.263,7.0588
-4.99876,121.263,6.902
-4.99872,121.263,6.7451
-4.99868,121.89,6.7451
-4.99864,121.576,6.5882
-4.9986,121.576,6.4314
-4.99856,121.263,6.2745
-4.99852,121.263,6.1176
-4.99848,121.576,5.8039
-4.99844,121.576,5.6471
-4.9984,121.576,5.4902
-4.99836,121.576,5.3333
-4.99832,121.263,5.0196
-4.99828,121.576,4.8627
-4.99824,121.576,4.549
-4.9982,121.576,4.2353
-4.99816,121.576,4.0784
-4.99812,121.576,3.7647
-4.99808,121.576,3.451
-4.99804,121.576,3.1373
-4.998,121.576,2.8235
-4.99796,121.576,2.5098
-4.99792,121.576,2.1961
-4.99788,121.576,1.8824
-4.99784,121.576,1.5686
-4.9978,121.576,1.098
-4.99776,121.576,0.78431
-4.99772,121.89,0.31373
-4.99768,121.576,-0.15686
-4.99764,121.576,-0.15686
-4.9976,121.576,-0.47059
-4.99756,121.576,-0.47059
-4.99752,121.576,-0.47059
-4.99748,121.576,-0.31373
-4.99744,121.576,-0.15686
-4.9974,121.576,0
-4.99736,121.576,0.15686
-4.99732,121.576,0.15686
-4.99728,121.576,0.15686
-4.99724,121.263,0.15686
-4.9972,121.576,0
-4.99716,121.576,-0.15686
-4.99712,121.263,-0.15686
-4.99708,121.263,-0.31373
-4.99704,121.263,0.31373
-4.997,121.263,1.098
-4.99696,121.263,1.5686
-4.99692,120.949,1.7255
-4.99688,121.263,2.0392
-4.99684,121.263,2.5098
-4.9968,120.949,2.8235
-4.99676,121.263,3.2941
-4.99672,121.263,3.6078
-4.99668,121.263,3.9216
-4.99664,121.263,4.2353
-4.9966,120.949,4.549
-4.99656,121.263,4.8627
-4.99652,120.949,5.1765
-4.99648,120.949,5.3333
-4.99644,120.949,5.6471
-4.9964,120.949,5.8039
-4.99636,120.949,5.9608
-4.99632,120.949,6.1176
-4.99628,120.949,6.2745
-4.99624,120.949,6.5882
-4.9962,120.949,6.7451
-4.99616,120.635,6.902
-4.99612,120.635,6.902
-4.99608,120.635,7.0588
-4.99604,120.635,7.2157
-4.996,120.635,7.3725
-4.99596,120.635,7.3725
-4.99592,120.635,7.5294
-4.99588,120.635,7.3725
-4.99584,120.635,7.5294
-4.9958,120.635,7.5294
-4.99576,120.635,7.5294
-4.99572,120.635,7.5294
-4.99568,120.635,7.5294
-4.99564,120.635,7.5294
-4.9956,120.635,7.3725
-4.99556,120.635,7.2157
-4.99552,120.322,7.2157
-4.99548,120.635,7.2157
-4.99544,120.635,7.0588
-4.9954,120.322,6.902
-4.99536,120.635,6.7451
-4.99532,120.322,6.5882
-4.99528,120.635,6.4314
-4.99524,120.635,6.2745
-4.9952,120.322,6.1176
-4.99516,120.635,5.9608
-4.99512,120.322,5.8039
-4.99508,120.322,5.4902
-4.99504,120.322,5.3333
-4.995,120.322,5.0196
-4.99496,120.322,4.8627
-4.99492,120.635,4.549
-4.99488,120.322,4.2353
-4.99484,120.322,4.0784
-4.9948,120.322,3.7647
-4.99476,120.322,3.6078
-4.99472,120.322,3.1373
-4.99468,120.322,2.8235
-4.99464,120.322,2.5098
-4.9946,120.635,2.1961
-4.99456,120.322,1.8824
-4.99452,120.322,1.4118
-4.99448,120.322,1.098
-4.99444,120.322,0.78431
-4.9944,120.322,0.31373
-4.99436,120.322,0
-4.99432,120.322,-0.31373
-4.99428,120.635,-0.31373
-4.99424,120.635,-0.47059
-4.9942,120.635,-0.47059
-4.99416,120.635,-0.15686
-4.99412,120.322,-0.15686
-4.99408,120.635,0
-4.99404,120.635,0.15686
-4.994,120.635,0.15686
-4.99396,120.635,0.15686
-4.99392,120.635,0
-4.99388,120.635,0
-4.99384,120.635,-0.15686
-4.9938,120.635,-0.15686
-4.99376,120.635,-0.15686
-4.99372,120.635,1.2549
-4.99368,120.635,-0.15686
-4.99364,120.635,1.098
-4.9936,120.635,1.5686
-4.99356,120.949,1.8824
-4.99352,120.949,2.5098
-4.99348,120.949,2.6667
-4.99344,120.949,3.2941
-4.9934,120.949,3.451
-4.99336,120.949,3.9216
-4.99332,120.949,4.0784
-4.99328,120.949,4.549
-4.99324,121.263,4.7059
-4.9932,121.263,5.0196
-4.99316,121.263,5.1765
-4.99312,121.263,5.4902
-4.99308,121.263,5.6471
-4.99304,120.949,5.9608
-4.993,121.263,6.1176
-4.99296,121.263,6.2745
-4.99292,121.263,6.4314
-4.99288,121.576,6.5882
-4.99284,121.263,6.5882
-4.9928,121.576,6.7451
-4.99276,121.263,6.902
-4.99272,121.263,7.0588
-4.99268,121.576,7.2157
-4.99264,121.576,7.2157
-4.9926,121.576,7.2157
-4.99256,121.576,7.3725
-4.99252,121.576,7.3725
-4.99248,121.576,7.2157
-4.99244,121.576,7.3725
-4.9924,121.576,7.3725
-4.99236,121.576,7.3725
-4.99232,121.576,7.3725
-4.99228,121.576,7.2157
-4.99224,121.576,7.2157
-4.9922,121.576,7.0588
-4.99216,121.576,6.902
-4.99212,121.576,6.902
-4.99208,121.576,6.902
-4.99204,121.576,6.5882
-4.992,121.576,6.5882
-4.99196,121.576,6.4314
-4.99192,121.576,6.1176
-4.99188,121.576,5.9608
-4.99184,121.576,5.8039
-4.9918,121.576,5.6471
-4.99176,121.576,5.4902
-4.99172,121.576,5.3333
-4.99168,121.576,5.0196
-4.99164,121.576,4.8627
-4.9916,121.576,4.549
-4.99156,121.576,4.2353
-4.99152,121.576,3.9216
-4.99148,121.576,3.7647
-4.99144,121.263,3.451
-4.9914,121.576,3.2941
-4.99136,121.263,2.8235
-4.99132,121.263,2.5098
-4.99128,121.263,2.1961
-4.99124,121.263,1.8824
-4.9912,121.263,1.5686
-4.99116,121.263,1.2549
-4.99112,120.949,0.78431
-4.99108,121.263,0.47059
-4.99104,120.949,0.15686
-4.991,120.949,-0.15686
-4.99096,121.263,-0.47059
-4.99092,120.949,-0.47059
-4.99088,120.949,-0.47059
-4.99084,120.949,-0.15686
-4.9908,120.949,-0.15686
-4.99076,120.949,0
-4.99072,120.949,0.15686
-4.99068,120.635,0.15686
-4.99064,120.949,0.15686
-4.9906,120.635,0
-4.99056,120.635,0
-4.99052,120.949,-0.15686
-4.99048,120.635,-0.15686
