Model,RTH1004
SerialNumber,105703
Firmware Version,'1.80.3.4'

Acquisition Time Stamp,2024-02-19 12:50:08.898166757,2024-02-19 12:50:08.898166757
Waveform Type,ANALOG,
Acquisition Mode,SAMPLE,
Horizontal Unit,s,
Horizontal Scale,0.5,
Horizontal Position,-2.5,
Reference Point,50 %,
Sample Interval,4e-05,
Record Length,125000,
Probe Setting,'1:1','0.1 V/A'
Vertical Unit,V,A
Vertical Scale,40,10
Vertical Position,-3.02,0
Vertical Offset,0,0
History Index,0,0
History Time Stamp,0.000000000000,0.000000000000
,,
TIME,CH1,CH2
-4.99248,-1.55294,0
-4.99244,-1.55294,0
-4.9924,-1.55294,-0.15686
-4.99236,-1.55294,-0.15686
-4.99232,-1.55294,-0.15686
-4.99228,-1.55294,-0.15686
-4.99224,-1.55294,0
-4.9922,-1.55294,-0.15686
-4.99216,-1.55294,0
-4.99212,-1.55294,-0.15686
-4.99208,-1.55294,-0.15686
-4.99204,-1.55294,-0.15686
-4.992,-1.55294,0
-4.99196,-1.55294,0
-4.99192,-1.55294,0
-4.99188,-1.55294,0
-4.99184,-1.55294,0
-4.9918,-1.55294,-0.15686
-4.99176,-1.55294,-0.15686
-4.99172,-1.55294,0
-4.99168,-1.55294,0
-4.99164,-1.55294,0
-4.9916,-1.55294,0
-4.99156,-1.55294,0
-4.99152,-1.55294,0
-4.99148,-1.55294,-0.15686
-4.99144,-1.55294,-0.15686
-4.9914,-1.55294,0
-4.99136,-1.55294,0
-4.99132,-1.55294,-0.15686
-4.99128,-1.55294,0
-4.99124,-1.55294,0
-4.9912,-1.55294,-0.15686
-4.99116,-1.55294,-0.15686
-4.99112,-1.55294,0
-4.99108,-1.55294,-0.15686
-4.99104,-1.55294,-0.15686
-4.991,-1.55294,-0.15686
-4.99096,-1.55294,-0.15686
-4.99092,-1.55294,-0.15686
-4.99088,-1.55294,-0.15686
-4.99084,-1.55294,0
-4.9908,-1.55294,-0.15686
-4.99076,-1.55294,-0.15686
-4.99072,-1.55294,-0.15686
-4.99068,-1.55294,0
-4.99064,-1.55294,-0.15686
-4.9906,-1.55294,0
-4.99056,-1.55294,-0.15686
-4.99052,-1.55294,-0.15686
-4.99048,-1.55294,0
-4.99044,-1.55294,-0.15686
-4.9904,-1.55294,0
-4.99036,-1.55294,-0.15686
-4.99032,-1.55294,-0.15686
-4.99028,-1.55294,-0.15686
-4.99024,-1.55294,0
-4.9902,-1.55294,0
-4.99016,-1.55294,0
-4.99012,-1.55294,0
-4.99008,-1.55294,-0.15686
-4.99004,-1.55294,0
-4.99,-1.55294,-0.15686
-4.98996,-1.55294,0
-4.98992,-1.55294,0
-4.98988,-1.55294,0
-4.98984,-1.55294,-0.15686
-4.9898,-1.55294,-0.15686
-4.98976,-1.55294,-0.15686
-4.98972,-1.55294,-0.15686
-4.98968,-1.55294,-0.15686
-4.98964,-1.55294,-0.15686
-4.9896,-1.55294,-0.15686
-4.98956,-1.55294,-0.15686
-4.98952,-1.55294,-0.15686
-4.98948,-1.55294,-0.15686
-4.98944,-1.55294,0
-4.9894,-1.55294,-0.15686
-4.98936,-1.55294,0
-4.98932,-1.55294,0
-4.98928,-1.55294,-0.15686
-4.98924,-1.55294,-0.15686
-4.9892,-1.55294,-0.15686
-4.98916,-1.55294,0
-4.98912,-1.55294,-0.15686
-4.98908,-1.55294,0
-4.98904,-1.55294,0
-4.989,-1.55294,-0.15686
-4.98896,-1.55294,0
-4.98892,-1.55294,-0.15686
-4.98888,-1.55294,-0.15686
-4.98884,-1.55294,0
-4.9888,-1.55294,0
-4.98876,-1.55294,-0.15686
-4.98872,-1.55294,-0.15686
-4.98868,-1.55294,-0.15686
-4.98864,-1.55294,-0.15686
-4.9886,-1.55294,0
-4.98856,-1.55294,-0.15686
-4.98852,-1.55294,0
-4.98848,-1.55294,0
-4.98844,-1.55294,-0.15686
-4.9884,-1.55294,-0.15686
-4.98836,-1.55294,0
-4.98832,-1.55294,-0.15686
-4.98828,-1.55294,0
-4.98824,-1.55294,-0.15686
-4.9882,-1.55294,0
-4.98816,-1.55294,-0.15686
-4.98812,-1.55294,-0.15686
-4.98808,-1.55294,-0.15686
-4.98804,-1.55294,-0.15686
-4.988,-1.55294,0
-4.98796,-1.55294,0
-4.98792,-1.55294,0
-4.98788,-1.55294,0
-4.98784,-1.55294,0
-4.9878,-1.55294,0
-4.98776,-1.55294,-0.15686
-4.98772,-1.55294,0
-4.98768,-1.55294,-0.15686
-4.98764,-1.55294,0
-4.9876,-1.55294,0
-4.98756,-1.55294,-0.15686
-4.98752,-1.55294,0
-4.98748,-1.55294,0
-4.98744,-1.55294,0
-4.9874,-1.55294,0
-4.98736,-1.55294,0
-4.98732,-1.55294,-0.15686
-4.98728,-1.55294,-0.15686
-4.98724,-1.55294,0
-4.9872,-1.55294,0
-4.98716,-1.55294,-0.15686
-4.98712,-1.55294,0
-4.98708,-1.55294,0
-4.98704,-1.55294,0
-4.987,-1.55294,0
-4.98696,-1.55294,0
-4.98692,-1.55294,0
-4.98688,-1.55294,0
-4.98684,-1.55294,0
-4.9868,-1.55294,0
-4.98676,-1.55294,0
-4.98672,-1.55294,0
-4.98668,-1.55294,0
-4.98664,-1.55294,0
-4.9866,-1.55294,0
-4.98656,-1.55294,0
-4.98652,-1.55294,0
-4.98648,-1.55294,0
-4.98644,-1.55294,0
-4.9864,-1.55294,-0.15686
